,eventid,iyear,extended,country,region,city,latitude,longitude,crit1,crit2,crit3,multiple,success,suicide,attack_type,target_type,target_nationality,group_name,nperps,nperpcap,weapon_type,nkill,nkillus,nwound,propvalue,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,hostkidoutcome,hostkidoutcome_txt,nreleased,date,ones
2248,1.97E+11,2016,0,Ethiopia,Sub-Saharan Africa,Asmara,15.333513,38.933652,1,1,1,0,1,0,IRS_Coverage,Government,Ethiopia,Eritrean Liberation Front,NA,NA,Bombs,0,NA,0,15000,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/14/2016,1
2272,1.97E+11,2016,0,Chad,Sub-Saharan Africa,Bardai,21.436084,17.112289,1,1,1,0,1,0,Spray_Structures_found,Private property,Chad,National Liberation Front of Chad,NA,NA,Unknown,0,NA,0,0,1,3,0,NA,NA,,Chad,0,NA,NA,NA,NA,2,Hostage(s) released by perpetrators,3,3/14/2016,1
2326,1.97E+11,2016,1,Ethiopia,Sub-Saharan Africa,Ghinda,NA,NA,1,1,1,0,1,0,Spray_Structures_found,Private property,Ethiopia,Eritrean Liberation Front,4,NA,Unknown,1,NA,0,0,1,2,1,0,27,,Ethiopia,0,NA,NA,NA,NA,2,Hostage(s) released by perpetrators,1,3/14/2016,1
2809,1.98E+11,2016,0,Zambia,Sub-Saharan Africa,Lusaka,-15.415393,28.284354,1,1,1,0,1,0,Sprayed_Structures,Hate crimes,Zambia,Unknown,NA,NA,Bombs,375,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/14/2016,1
2950,1.98E+11,2016,0,Tanzania,Sub-Saharan Africa,Unknown,NA,NA,1,1,1,0,1,0,Spray_Structures_found,Public services,Tanzania,People's Revolutionary Party (Tanzania),NA,NA,Unknown,375,NA,0,0,1,4,3,NA,NA,,Tanzania,1,5.00E+05,NA,NA,NA,2,Hostage(s) released by perpetrators,4,3/14/2016,1
3045,1.98E+11,2016,1,Ethiopia,Sub-Saharan Africa,Asmara,15.333513,38.933652,1,1,1,0,1,0,Spray_Structures_found,Private property,Ethiopia,Eritrean Liberation Front,NA,NA,Unknown,0,NA,0,0,1,2,2,0,290,,Ethiopia,0,NA,NA,NA,NA,2,Hostage(s) released by perpetrators,2,3/14/2016,1
3111,1.98E+11,2016,0,Namibia,Sub-Saharan Africa,Ondangwa,-17.906983,15.97565,1,1,1,0,1,0,Sprayed_Structures,Government,Namibia,South-West Africa People's Organization (SWAPO),NA,NA,Firearms,1,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/14/2016,1
3168,1.98E+11,2017,1,Ethiopia,Sub-Saharan Africa,Asmara,15.333513,38.933652,1,1,0,0,1,0,Spray_Structures_found,Government,Ethiopia,Eritrean Liberation Front,NA,NA,Firearms,0,NA,0,0,1,2,1,0,117,,Ethiopia,1,0,NA,NA,NA,2,Hostage(s) released by perpetrators,2,3/14/2017,1
3280,1.98E+11,2017,1,Ethiopia,Sub-Saharan Africa,Unknown,NA,NA,1,1,1,0,1,0,Spray_Structures_found,Private property,Ethiopia,Eritrean Liberation Front,2,NA,Unknown,0,NA,0,0,1,1,0,0,191,,Ethiopia,1,0,NA,NA,NA,2,Hostage(s) released by perpetrators,1,3/14/2017,1
3383,1.98E+11,2017,1,Ethiopia,Sub-Saharan Africa,Asmara,15.333513,38.933652,1,1,1,0,1,0,Spray_Structures_found,Private property,Ethiopia,Eritrean Liberation Front,NA,NA,Unknown,0,NA,0,0,1,1,1,0,162,,Ethiopia,1,0,NA,NA,NA,2,Hostage(s) released by perpetrators,1,3/14/2017,1
3519,1.98E+11,2017,0,Namibia,Sub-Saharan Africa,Okahandja,-21.975651,16.912449,0,1,1,0,1,0,Sprayed_Structures,Private property,Namibia,Unknown,NA,NA,Firearms,2,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/14/2017,1
3662,1.98E+11,2017,0,Namibia,Sub-Saharan Africa,Windhoek,-22.567335,17.083271,1,1,1,0,1,0,IRS_pop_protected,Government,Namibia,South-West Africa People's Organization (SWAPO),NA,NA,Firearms,1,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/14/2017,1
3692,1.98E+11,2017,1,Ethiopia,Sub-Saharan Africa,Unknown,14.032334,38.316572,1,1,1,0,1,0,Spray_Structures_found,Private property,Ethiopia,Tigray Peoples Liberation Front (TPLF),NA,NA,Unknown,0,NA,0,0,1,4,0,NA,NA,,Ethiopia,0,NA,NA,NA,NA,NA,.,4,NA,1
3693,1.98E+11,2017,0,Ethiopia,Sub-Saharan Africa,Unknown,NA,NA,1,1,1,0,1,0,Spray_Structures_found,Private property,Ethiopia,Eritrean Liberation Front,NA,NA,Unknown,0,NA,0,0,1,3,0,NA,NA,,Ethiopia,0,NA,NA,NA,NA,2,Hostage(s) released by perpetrators,3,NA,1
3838,1.98E+11,2017,1,Ethiopia,Sub-Saharan Africa,Massalva,NA,NA,1,1,1,0,1,0,Spray_Structures_found,Government,Ethiopia,Eritrean Liberation Front,NA,NA,Unknown,0,NA,0,0,1,2,0,0,15,,Ethiopia,0,NA,NA,NA,NA,2,Hostage(s) released by perpetrators,2,3/14/2017,1
3949,1.98E+11,2017,1,Ethiopia,Sub-Saharan Africa,Unknown,NA,NA,1,1,1,0,1,0,Spray_Structures_found,Public services,Ethiopia,Tigray Peoples Liberation Front (TPLF),NA,NA,Unknown,0,NA,0,0,1,1,0,0,48,,Ethiopia,1,0,NA,NA,NA,2,Hostage(s) released by perpetrators,1,3/14/2017,1
4100,1.98E+11,2017,1,Ethiopia,Sub-Saharan Africa,Addis Ababa,8.977146,38.773226,1,1,1,0,1,0,Spray_Structures_found,Government,Ethiopia,Eritrean Liberation Front,NA,NA,Unknown,0,NA,0,0,1,1,0,0,28,,Ethiopia,1,0,NA,NA,NA,2,Hostage(s) released by perpetrators,1,3/14/2017,1
4387,1.98E+11,2017,0,Angola,Sub-Saharan Africa,Futila,-5.433869,12.21505,1,1,1,0,1,0,IRS_pop_protected,Public services,Angola,Front for the Liberation of the Enclave of Cabinda (FLEC),NA,NA,Firearms,375,NA,NA,67333.33333,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/14/2017,1
4468,1.98E+11,2017,0,Zambia,Sub-Saharan Africa,Lusaka,-15.415393,28.284354,1,1,1,0,1,0,Sprayed_Structures,Government,Zambia,Unknown,NA,NA,Bombs,375,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/14/2017,1
4540,1.98E+11,2017,0,Ethiopia,Sub-Saharan Africa,Addis Ababa,8.977146,38.773226,1,1,1,0,1,0,Children_U5yrs_protected,Government,Ethiopia,Unknown,NA,NA,Incendiary,0,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/14/2017,1
4564,1.98E+11,2018,0,Ethiopia,Sub-Saharan Africa,Gode,5.950903,43.560085,1,1,1,0,1,0,Sprayed_Structures,Hate crimes,Ethiopia,armed guerrillas,NA,NA,Firearms,1,1,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/27/2018,1
4653,1.98E+11,2018,0,Ethiopia,Sub-Saharan Africa,Mekele,13.480118,39.465894,1,1,1,0,1,0,IRS_pop_Not_protected,Public services,Ethiopia,Eritrean Liberation Front,2,NA,Firearms,3,NA,NA,0,1,NA,0,NA,NA,,Ethiopia,0,NA,NA,NA,NA,5,Successful Rescue,NA,3/27/2018,1
5494,1.98E+11,2018,0,Djibouti,Sub-Saharan Africa,Yoboki,11.510046,42.10496,1,1,1,0,1,0,Spray_Structures_found,Public services,Djibouti,Afar rebels,NA,NA,Unknown,1,NA,1,0,1,2,0,NA,NA,,Djibouti,1,0,NA,NA,NA,4,Hostage(s) killed (not during rescue attempt),1,3/27/2018,1
5516,1.98E+11,2018,0,Ethiopia,Sub-Saharan Africa,Addis Ababa,8.977146,38.773226,1,1,1,0,1,0,Sprayed_Structures,Private property,Ethiopia,Unknown,NA,NA,Unknown,1,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/27/2018,1
6078,1.98E+11,2018,0,Namibia,Sub-Saharan Africa,Katatura,-22.517714,17.059734,1,1,1,0,1,0,Sprayed_Structures,Government,Namibia,Unknown,2,NA,Firearms,1,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/27/2018,1
6604,1.98E+11,2018,0,Namibia,Sub-Saharan Africa,Orambolaud district,-22.305197,17.827417,1,1,1,0,1,0,Sprayed_Structures,Government,Namibia,South-West Africa People's Organization (SWAPO),NA,NA,Firearms,1,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/27/2018,1
6810,1.98E+11,2018,0,Namibia,Sub-Saharan Africa,Ruacana,-17.436154,14.391604,1,1,1,0,1,0,IRS_Coverage,Public services,Namibia,South-West Africa People's Organization (SWAPO),NA,NA,Bombs,0,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/27/2018,1
6837,1.98E+11,2018,0,Ethiopia,Sub-Saharan Africa,Asmara,15.333513,38.933652,1,1,0,0,1,0,IRS_pop_protected,Government,Ethiopia,Eritrean Liberation Front,NA,NA,Firearms,25,NA,NA,1.00E+05,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/27/2018,1
6845,1.98E+11,2018,0,Zambia,Sub-Saharan Africa,Kamuzya,NA,NA,1,1,1,0,1,0,IRS_Coverage,Public services,Zambia,Zimbabwe Guerrillas,NA,NA,Bombs,375,NA,NA,20000,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/27/2018,1
6849,1.98E+11,2018,0,Zambia,Sub-Saharan Africa,Unknown,NA,NA,1,1,1,0,1,0,IRS_Coverage,Public services,Zambia,Unknown,NA,NA,Bombs,375,NA,NA,10000,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/27/2018,1
6859,1.98E+11,2018,0,Angola,Sub-Saharan Africa,Canhe,NA,NA,1,1,1,0,1,0,IRS_Coverage,Private property,Angola,National Union for the Total Independence of Angola (UNITA),NA,NA,Bombs,375,NA,16,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,NA,1
6860,1.98E+11,2018,0,Angola,Sub-Saharan Africa,Huambo,-12.765538,15.732861,1,1,1,0,1,0,IRS_Coverage,Private property,Angola,National Union for the Total Independence of Angola (UNITA),NA,NA,Bombs,375,NA,24,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,NA,1
6861,1.98E+11,2018,1,Ethiopia,Sub-Saharan Africa,Unknown,NA,NA,1,1,1,0,1,0,Spray_Structures_found,Private property,Ethiopia,Tigray Peoples Liberation Front (TPLF),NA,NA,Unknown,0,NA,0,0,1,4,1,NA,NA,,Ethiopia,0,NA,NA,NA,NA,2,Hostage(s) released by perpetrators,4,NA,1
6878,1.98E+11,2018,0,Namibia,Sub-Saharan Africa,Inpohana,NA,NA,1,1,1,0,1,0,IRS_Coverage,Public services,Namibia,South-West Africa People's Organization (SWAPO),NA,NA,Bombs,NA,NA,NA,67333.33333,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/27/2018,1
6974,1.98E+11,2018,0,Mozambique,Sub-Saharan Africa,Maputo,-25.891968,32.605135,1,1,1,0,1,0,IRS_Coverage,Government,Mozambique,Unknown,NA,NA,Bombs,1,NA,3,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/27/2018,1
6992,1.98E+11,2018,0,Zambia,Sub-Saharan Africa,Rutenga,NA,NA,1,1,1,0,1,0,IRS_Coverage,Public services,Zambia,Zimbabwe African People's Union,NA,NA,Bombs,375,NA,0,25000,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/27/2018,1
6994,1.98E+11,2018,0,Namibia,Sub-Saharan Africa,Windhoek,-22.567335,17.083271,1,1,1,0,1,0,IRS_Coverage,Private property,Namibia,Unknown,NA,NA,Bombs,0,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/27/2018,1
6995,1.98E+11,2018,0,Namibia,Sub-Saharan Africa,Windhoek,-22.567335,17.083271,1,1,1,0,1,0,IRS_Coverage,Private property,Namibia,Unknown,NA,NA,Bombs,0,NA,5,20000,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/27/2018,1
6996,1.98E+11,2018,0,Namibia,Sub-Saharan Africa,Windhoek,-22.567335,17.083271,1,1,1,0,1,0,IRS_Coverage,Private property,Namibia,Unknown,NA,NA,Bombs,0,NA,0,10000,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/27/2018,1
7065,1.98E+11,2018,0,Mozambique,Sub-Saharan Africa,Beira,-19.833307,34.849994,1,1,1,0,1,0,IRS_Coverage,Private property,Mozambique,Unknown,NA,NA,Bombs,1,NA,3,10000,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/27/2018,1
7175,1.98E+11,2018,0,Namibia,Sub-Saharan Africa,Swakopmund,-22.684698,14.536585,1,1,1,0,1,0,IRS_Coverage,Private property,Namibia,South-West Africa People's Organization (SWAPO),NA,NA,Bombs,0,NA,60,20000,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/27/2018,1
7264,1.98E+11,2018,0,Namibia,Sub-Saharan Africa,Unknown,NA,NA,1,1,1,0,1,0,IRS_Coverage,Government,Namibia,South-West Africa People's Organization (SWAPO),NA,NA,Bombs,2,NA,0,3000,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/27/2018,1
7361,1.98E+11,2018,0,Namibia,Sub-Saharan Africa,Unknown,-17.620422,12.653643,1,1,1,0,1,0,IRS_Coverage,Private property,Namibia,South-West Africa People's Organization (SWAPO),NA,NA,Bombs,2,NA,1,5000,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/27/2018,1
7460,1.98E+11,2018,0,Uganda,Sub-Saharan Africa,Kanipala,0.347834,32.58252,1,1,1,0,1,0,IRS_Coverage,Private property,Uganda,Save Uganda Movement,NA,NA,Bombs,0,NA,0,10000,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/27/2018,1
7461,1.98E+11,2018,0,Uganda,Sub-Saharan Africa,Jinja,0.534526,33.302908,1,1,1,0,1,0,IRS_Coverage,Public services,Uganda,Save Uganda Movement,NA,NA,Bombs,0,NA,0,20000,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/27/2018,1
7501,1.98E+11,2018,0,Namibia,Sub-Saharan Africa,Onengali,-17.408763,15.938798,1,1,1,0,1,0,IRS_Coverage,Private property,Namibia,South-West Africa People's Organization (SWAPO),NA,NA,Firearms,1,NA,0,67333.33333,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/27/2018,1
7542,1.98E+11,2018,0,Uganda,Sub-Saharan Africa,Busembatia,0.775995,33.62597,1,1,1,0,1,0,IRS_Coverage,Public services,Uganda,Save Uganda Movement,NA,NA,Bombs,0,NA,0,67333.33333,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/27/2018,1
7661,1.98E+11,2018,0,Namibia,Sub-Saharan Africa,Elandu,-17.715473,15.01685,1,1,0,0,1,0,IRS_Coverage,Government,Namibia,South-West Africa People's Organization (SWAPO),NA,NA,Bombs,0,NA,0,2000,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/27/2018,1
7686,1.98E+11,2018,0,Namibia,Sub-Saharan Africa,Windhoek,-22.567335,17.083271,1,1,1,0,1,0,Spray_Structures_found,Private property,Namibia,South-West Africa People's Organization (SWAPO),NA,NA,Unknown,NA,NA,NA,0,1,5,0,0,NA,,Namibia,0,NA,NA,NA,NA,NA,.,NA,3/27/2018,1
7769,1.98E+11,2018,0,Namibia,Sub-Saharan Africa,Owamboland,-18.623616,17.516841,1,1,1,0,1,0,IRS_Coverage,Private property,Namibia,South-West Africa People's Organization (SWAPO),NA,NA,Bombs,1,NA,5,5000,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/27/2018,1
7799,1.98E+11,2018,0,Namibia,Sub-Saharan Africa,Tsaudi,NA,NA,1,1,1,0,1,0,Sprayed_Structures,Government,Namibia,South-West Africa People's Organization (SWAPO),NA,NA,Firearms,2,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/27/2018,1
7867,1.98E+11,2018,0,Mozambique,Sub-Saharan Africa,Beira,-19.833307,34.849994,1,1,1,0,1,0,Children_U5yrs_protected,Public services,Mozambique,Mozambique National Resistance Movement (MNR),NA,NA,Incendiary,18,NA,0,3.00E+06,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/27/2018,1
7868,1.98E+11,2018,0,Mozambique,Sub-Saharan Africa,Munhava,-19.817412,34.848571,1,1,1,0,1,0,IRS_Coverage,Private property,Mozambique,Mozambique National Resistance Movement (MNR),NA,NA,Bombs,0,NA,0,150000,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/27/2018,1
7878,1.98E+11,2018,0,Namibia,Sub-Saharan Africa,Otavi,-19.635032,17.335906,1,1,1,0,1,0,Sprayed_Structures,Private property,Namibia,Zimbabwe African Nationalist Union (ZANU),14,NA,Unknown,1,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/27/2018,1
7882,1.98E+11,2018,0,Namibia,Sub-Saharan Africa,Unknown,NA,NA,1,1,1,0,1,0,Unknown,Government,Namibia,Zimbabwe African Nationalist Union (ZANU),14,NA,Unknown,1,NA,2,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/27/2018,1
7887,1.98E+11,2018,0,Namibia,Sub-Saharan Africa,unknown,NA,NA,1,1,1,0,1,0,Spray_Structures_found,Public services,Namibia,Zimbabwe African Nationalist Union (ZANU),NA,NA,Unknown,NA,NA,NA,0,1,40,0,NA,NA,,Namibia,1,0,NA,NA,NA,NA,.,NA,3/27/2018,1
7930,1.98E+11,2018,0,Namibia,Sub-Saharan Africa,Owamboland,-18.623616,17.516841,1,1,1,0,1,0,Sprayed_Structures,Government,Namibia,South-West Africa People's Organization (SWAPO),NA,NA,Bombs,0,NA,1,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/27/2018,1
7934,1.98E+11,2018,0,Namibia,Sub-Saharan Africa,Windhoek,-22.567335,17.083271,1,1,1,0,0,0,Sprayed_Structures,Government,Namibia,South-West Africa People's Organization (SWAPO),NA,NA,Bombs,0,NA,1,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/27/2018,1
7946,1.98E+11,2018,0,Namibia,Sub-Saharan Africa,Ondangua,-17.905095,15.975806,1,1,0,0,1,0,IRS_Coverage,Government,Namibia,South-West Africa People's Organization (SWAPO),NA,NA,Bombs,0,NA,0,67333.33333,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/27/2018,1
7978,1.98E+11,2018,0,Mozambique,Sub-Saharan Africa,Gorongoza,-18.682775,34.066629,1,1,1,0,1,0,IRS_pop_protected,Private property,Mozambique,Mozambique National Resistance Movement (MNR),NA,NA,Firearms,16,NA,0,67333.33333,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/27/2018,1
7995,1.98E+11,2018,0,Ethiopia,Sub-Saharan Africa,Kerene,13.579801,39.066462,1,1,1,0,1,0,IRS_pop_protected,Public services,Ethiopia,Eritrean Liberation Front,NA,NA,Firearms,NA,NA,NA,50000,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/27/2018,1
7996,1.98E+11,2018,0,Mozambique,Sub-Saharan Africa,Chicamba,-24.16662,34.666614,1,1,1,0,1,0,IRS_Coverage,Private property,Mozambique,Mozambique National Resistance Movement (MNR),NA,NA,Bombs,0,NA,0,5000,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/27/2018,1
7997,1.98E+11,2018,0,Namibia,Sub-Saharan Africa,Ruacana,-17.436154,14.391604,1,1,1,0,1,0,IRS_Coverage,Public services,Namibia,Unknown,NA,NA,Bombs,0,NA,0,25000,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/27/2018,1
8011,1.98E+11,2018,0,Namibia,Sub-Saharan Africa,Ondangua,-17.905095,15.975806,1,1,1,0,1,0,IRS_Coverage,Public services,Namibia,Unknown,NA,NA,Bombs,0,NA,4,7000,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/27/2018,1
8040,1.98E+11,2018,0,Mozambique,Sub-Saharan Africa,Rotanda,-19.533739,32.916989,1,1,1,0,1,0,IRS_Coverage,Private property,Mozambique,Mozambique National Resistance Movement (MNR),NA,NA,Bombs,NA,NA,NA,15000,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/27/2018,1
8054,1.98E+11,2018,0,Namibia,Sub-Saharan Africa,Owamboland,-18.623616,17.516841,1,1,1,0,1,0,Spray_Structures_found,Public services,Namibia,Unknown,NA,NA,Unknown,NA,NA,NA,67333.33333,1,7,0,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/27/2018,1
8055,1.98E+11,2018,0,Namibia,Sub-Saharan Africa,Owamboland,-18.623616,17.516841,1,1,1,0,1,0,IRS_pop_protected,Government,Namibia,South-West Africa People's Organization (SWAPO),NA,NA,Firearms,0,NA,0,67333.33333,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/27/2018,1
8070,1.98E+11,2018,0,Namibia,Sub-Saharan Africa,Oshakati,-17.789997,15.706292,1,1,1,0,1,0,IRS_Coverage,Public services,Namibia,Unknown,NA,NA,Bombs,0,NA,0,2000,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/27/2018,1
8072,1.98E+11,2018,0,Namibia,Sub-Saharan Africa,Uthala,NA,NA,1,1,1,0,1,0,Spray_Structures_found,Government,Namibia,South-West Africa People's Organization (SWAPO),NA,NA,Unknown,NA,NA,NA,0,1,4,0,NA,NA,,Namibia,0,NA,NA,NA,NA,NA,.,NA,3/27/2018,1
8168,1.98E+11,2018,0,Ethiopia,Sub-Saharan Africa,Aksum,14.119147,38.730775,1,1,1,0,1,0,IRS_pop_protected,Private property,Ethiopia,Tigray Peoples Liberation Front (TPLF),NA,NA,Unknown,NA,NA,NA,60000,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/27/2018,1
8169,1.98E+11,2018,0,Ethiopia,Sub-Saharan Africa,Workamba,NA,NA,1,1,1,0,1,0,Unknown,Private property,Ethiopia,Tigray Peoples Liberation Front (TPLF),NA,NA,Unknown,100,NA,0,67333.33333,1,4000,0,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/27/2018,1
8265,1.98E+11,2018,0,Namibia,Sub-Saharan Africa,Tsumeb,-19.248525,17.701463,1,1,1,0,1,0,Sprayed_Structures,Private property,Namibia,South-West Africa People's Organization (SWAPO),NA,NA,Melee,3,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/27/2018,1
8266,1.98E+11,2018,0,Namibia,Sub-Saharan Africa,Tsumeb,-19.248525,17.701463,1,1,1,0,1,0,Sprayed_Structures,Private property,Namibia,South-West Africa People's Organization (SWAPO),NA,NA,Firearms,1,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/27/2018,1
